,GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
16388,754585317,20180510.0,201805.0,0.0,1.0,1.0,1.0,7.282913165266111,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",0.0,7.282913165266111
16496,754601012,20180510.0,201805.0,3.5,8.0,1.0,8.0,-0.413223140495864,16.45,120.55,RP,"Philippine, Benguet, Philippines",28.0,-3.305785123966912
16504,754601977,20180510.0,201805.0,0.0,2.0,1.0,2.0,-2.8449502133712703,10.8794,122.486,RP,"Cabatuan, Iloilo, Philippines",0.0,-5.689900426742541
16890,754655796,20180510.0,201805.0,4.0,4.0,1.0,4.0,-7.88954635108482,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",16.0,-31.55818540433928
17093,754687671,20180510.0,201805.0,4.0,2.0,1.0,2.0,2.00117716303708,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",8.0,4.00235432607416
17225,754712552,20180510.0,201805.0,8.0,3.0,1.0,3.0,-0.7653061224489799,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",24.0,-2.29591836734694
17232,754712539,20180510.0,201805.0,0.0,2.0,1.0,2.0,-2.96127562642369,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",0.0,-5.92255125284738
17235,754712527,20180510.0,201805.0,0.0,2.0,1.0,2.0,-5.69105691056911,14.92,122.015,RP,"Pangasinan, Quezon, Philippines",0.0,-11.38211382113822
17239,754712543,20180510.0,201805.0,4.0,2.0,1.0,2.0,-0.7653061224489799,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",8.0,-1.5306122448979598
17345,754732496,20180510.0,201805.0,-5.0,4.0,1.0,4.0,-1.1235955056179798,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-20.0,-4.494382022471919
17404,754743252,20180510.0,201805.0,0.0,6.0,1.0,6.0,-0.6928406466512701,14.5833,121.0,RP,"Metro Manila, Philippines (general), Philippines",0.0,-4.15704387990762
17546,754764749,20180510.0,201805.0,0.0,1.0,1.0,1.0,2.1630615640599,8.63333,123.4,RP,"Palawan, Dapitan, Philippines",0.0,2.1630615640599
17765,754804045,20180510.0,201805.0,2.8,2.0,1.0,2.0,3.89610389610389,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",5.6,7.79220779220778
18065,754849302,20180510.0,201805.0,7.0,1.0,1.0,1.0,0.0,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",7.0,0.0
